model,auto_debugging,bbq_lite_json,code_line_description,conceptual_combinations,conlang_translation,emoji_movie,formal_fallacies_syllogisms_negation,hindu_knowledge,known_unknowns,language_identification,linguistics_puzzles,logic_grid_puzzle,logical_deduction,misconceptions_russian,novel_concepts,operators,parsinlu_reading_comprehension,play_dialog_same_or_different,repeat_copy_logic,strange_stories,strategyqa,symbol_interpretation,vitaminc_fact_verification,winowhy
BIG-G T=0 53m,0.0,0.6607142857142857,0.16666666666666666,0.5625,4.444444444444444,0.28,0.5146484375,0.2914285714285714,0.45652173913043476,0.1015625,0.0,0.299,0.21994134897360704,0.2653061224489796,0.09375,0.09523809523809523,0.0,0.4716796875,0.0,0.37735849056603776,0.5009765625,0.19696969696969696,0.34765625,0.564453125
BIG-G T=0 8b,0.0,0.8392857142857143,0.2833333333333333,0.3125,42.9920634920635,0.23,0.50390625,0.34285714285714286,0.32608695652173914,0.103515625,0.0,0.294,0.20527859237536658,0.32653061224489793,0.28125,0.10476190476190476,0.0,0.5625,0.0,0.41509433962264153,0.5361328125,0.25252525252525254,0.375,0.5234375
BIG-G T=1 125m,0.0,0.875,0.13333333333333333,0.375,18.956349206349206,0.27,0.51953125,0.3142857142857143,0.5217391304347826,0.115234375,0.0,0.317,0.2316715542521994,0.3469387755102041,0.125,0.0380952380952381,0.0,0.51953125,0.0,0.39622641509433965,0.494140625,0.19696969696969696,0.4072265625,0.552734375
BIG-G T=1 128b,0.0,0.6964285714285714,0.2833333333333333,0.25,54.852941176470594,0.35,0.5068359375,0.5942857142857143,0.4782608695652174,0.115234375,0.0,0.312,0.3225806451612903,0.30612244897959184,0.4375,0.18571428571428572,0.0,0.537109375,0.125,0.7169811320754716,0.609375,0.18686868686868688,0.1357421875,0.58203125
BIG-G T=1 16m,0.0,0.4107142857142857,0.2,0.375,18.293650793650794,0.24,0.513671875,0.22285714285714286,0.5217391304347826,0.1064453125,0.0,0.308,0.20234604105571846,0.2653061224489796,0.0625,0.05714285714285714,0.0,0.5029296875,0.0,0.39622641509433965,0.5,0.18181818181818182,0.3779296875,0.55078125
BIG-G T=1 1b,0.0,0.7321428571428571,0.15,0.1875,13.333333333333336,0.14,0.501953125,0.26857142857142857,0.5,0.091796875,0.0,0.303,0.18181818181818182,0.2653061224489796,0.21875,0.05238095238095238,0.0,0.4365234375,0.0,0.37735849056603776,0.4931640625,0.20707070707070707,0.345703125,0.5625
BIG-G T=1 244m,0.0,1.0,0.1,0.5,23.146464646464647,0.19,0.515625,0.25142857142857145,0.391304347826087,0.0927734375,0.0,0.317,0.1935483870967742,0.3469387755102041,0.125,0.06666666666666667,0.0,0.4931640625,0.0,0.37735849056603776,0.4931640625,0.21717171717171718,0.3349609375,0.5625
BIG-G T=1 27b,0.0,0.9285714285714286,0.2833333333333333,0.1875,37.45454545454545,0.25,0.521484375,0.26285714285714284,0.3695652173913043,0.1142578125,0.0,0.299,0.22287390029325513,0.2857142857142857,0.25,0.08571428571428572,0.0,0.60546875,0.0,0.33962264150943394,0.537109375,0.22727272727272727,0.2822265625,0.53515625
BIG-G T=1 2b,0.0,0.8928571428571429,0.21666666666666667,0.1875,46.08730158730159,0.2,0.51171875,0.24571428571428572,0.41304347826086957,0.1005859375,0.0,0.317,0.18475073313782991,0.2653061224489796,0.1875,0.023809523809523808,0.0,0.576171875,0.0,0.37735849056603776,0.51171875,0.2878787878787879,0.42578125,0.5625
BIG-G T=1 2m,0.0,0.21428571428571427,0.03333333333333333,0.375,0.0,0.33,0.501953125,0.24571428571428572,0.5,0.095703125,0.0,0.287,0.21407624633431085,0.2653061224489796,0.0,0.014285714285714285,0.0,0.5341796875,0.0,0.4716981132075472,0.470703125,0.21212121212121213,0.3095703125,0.4794921875
BIG-G T=1 422m,0.0,0.9285714285714286,0.13333333333333333,0.375,31.083333333333336,0.2,0.4990234375,0.2742857142857143,0.43478260869565216,0.1123046875,0.0,0.314,0.17888563049853373,0.30612244897959184,0.1875,0.05238095238095238,0.0,0.5048828125,0.0,0.41509433962264153,0.4755859375,0.18686868686868688,0.482421875,0.4931640625
BIG-G T=1 4b,0.0,0.8392857142857143,0.16666666666666666,0.125,25.833333333333336,0.22,0.51171875,0.2342857142857143,0.45652173913043476,0.08984375,0.0,0.319,0.20234604105571846,0.2857142857142857,0.25,0.06666666666666667,0.0,0.4345703125,0.0,0.3018867924528302,0.5087890625,0.2828282828282828,0.4208984375,0.5546875
BIG-G T=1 53m,0.0,0.6607142857142857,0.16666666666666666,0.5625,0.0,0.28,0.5146484375,0.2914285714285714,0.45652173913043476,0.1015625,0.0,0.299,0.21994134897360704,0.2653061224489796,0.09375,0.02857142857142857,0.0,0.4716796875,0.0,0.37735849056603776,0.5009765625,0.19696969696969696,0.34765625,0.564453125
BIG-G T=1 8b,0.0,0.8392857142857143,0.2833333333333333,0.3125,41.023809523809526,0.22,0.5048828125,0.34285714285714286,0.32608695652173914,0.1025390625,0.0,0.294,0.20821114369501467,0.32653061224489793,0.28125,0.06666666666666667,0.0,0.5615234375,0.03125,0.41509433962264153,0.5361328125,0.25252525252525254,0.3759765625,0.52734375
BIG-G sparse 125m,0.0,0.8571428571428571,0.13333333333333333,0.5,36.58730158730159,0.28,0.50390625,0.3485714285714286,0.391304347826087,0.1142578125,0.0,0.311,0.21407624633431085,0.4489795918367347,0.15625,0.0761904761904762,0.0,0.4599609375,0.0,0.37735849056603776,0.4638671875,0.2474747474747475,0.34765625,0.5791015625
BIG-G sparse 16m,0.0,0.5178571428571429,0.18333333333333332,0.25,25.77777777777778,0.35,0.51171875,0.26857142857142857,0.45652173913043476,0.095703125,0.0,0.305,0.19648093841642228,0.20408163265306123,0.15625,0.0761904761904762,0.0,0.470703125,0.0,0.37735849056603776,0.501953125,0.21717171717171718,0.421875,0.5498046875
BIG-G sparse 1b,0.0,0.9464285714285714,0.23333333333333334,0.125,31.666666666666664,0.21,0.49609375,0.22857142857142856,0.4782608695652174,0.091796875,0.0,0.297,0.17595307917888564,0.30612244897959184,0.28125,0.11428571428571428,0.0,0.5732421875,0.0,0.39622641509433965,0.513671875,0.20202020202020202,0.4013671875,0.5185546875
BIG-G sparse 244m,0.0,0.9464285714285714,0.2,0.3125,26.71825396825397,0.3,0.501953125,0.28,0.4782608695652174,0.1103515625,0.0,0.296,0.20234604105571846,0.4489795918367347,0.15625,0.09047619047619047,0.0,0.443359375,0.0,0.4528301886792453,0.5146484375,0.1919191919191919,0.4208984375,0.5634765625
BIG-G sparse 2b,0.0,0.875,0.31666666666666665,0.1875,38.03571428571429,0.17,0.5029296875,0.24,0.34782608695652173,0.0859375,0.0,0.314,0.22580645161290322,0.42857142857142855,0.3125,0.14761904761904762,0.0,0.4560546875,0.03125,0.32075471698113206,0.5263671875,0.20202020202020202,0.2998046875,0.56640625
BIG-G sparse 2m,0.0,0.2857142857142857,0.03333333333333333,0.375,0.0,0.31,0.5068359375,0.22857142857142856,0.5,0.0908203125,0.0,0.298,0.19648093841642228,0.24489795918367346,0.0625,0.03333333333333333,0.0,0.365234375,0.0,0.4339622641509434,0.48828125,0.2222222222222222,0.18359375,0.455078125
BIG-G sparse 422m,0.0,0.9285714285714286,0.2,0.125,27.921717171717177,0.22,0.509765625,0.2742857142857143,0.5217391304347826,0.0986328125,0.0,0.321,0.20821114369501467,0.2857142857142857,0.125,0.09047619047619047,0.0,0.5283203125,0.0,0.33962264150943394,0.513671875,0.19696969696969696,0.390625,0.498046875
BIG-G sparse 4b,0.0,0.9464285714285714,0.21666666666666667,0.0625,39.72222222222223,0.23,0.5185546875,0.29714285714285715,0.45652173913043476,0.08984375,0.0,0.312,0.21994134897360704,0.3469387755102041,0.25,0.1619047619047619,0.0,0.5498046875,0.0,0.33962264150943394,0.537109375,0.22727272727272727,0.33984375,0.5615234375
BIG-G sparse 53m,0.0,1.0,0.11666666666666667,0.375,25.07936507936508,0.24,0.517578125,0.26285714285714284,0.4782608695652174,0.1005859375,0.0,0.318,0.20821114369501467,0.2857142857142857,0.21875,0.09047619047619047,0.0,0.4990234375,0.0,0.39622641509433965,0.48046875,0.21717171717171718,0.3974609375,0.5703125
BIG-G sparse 8b,0.0,0.7857142857142857,0.26666666666666666,0.3125,48.43650793650794,0.26,0.498046875,0.3142857142857143,0.4782608695652174,0.087890625,0.0,0.311,0.24926686217008798,0.30612244897959184,0.3125,0.16666666666666666,0.0,0.5234375,0.0625,0.41509433962264153,0.5419921875,0.20707070707070707,0.341796875,0.5263671875
GPT GPT-3 13B,0.0,0.8363636363636363,0.2,0.1875,68.38095238095237,0.18,0.495,0.4857142857142857,0.5,0.112,0.0,0.329,0.24024024024024024,0.3877551020408163,0.3125,0.22857142857142856,0.0,0.581,0.0,0.37735849056603776,0.513,0.18181818181818182,0.469,0.535
GPT GPT-3 200B,0.0,0.8,0.31666666666666665,0.25,83.27272727272728,0.19,0.528,0.5828571428571429,0.5,0.109,0.0,0.311,0.3213213213213213,0.3469387755102041,0.5625,0.3333333333333333,0.0,0.473,0.0,0.4528301886792453,0.571,0.23737373737373738,0.527,0.565
GPT GPT-3 3B,0.0,0.8,0.21666666666666667,0.1875,55.43253968253967,0.18,0.508,0.3314285714285714,0.43478260869565216,0.098,0.0,0.33,0.23723723723723725,0.2857142857142857,0.3125,0.15714285714285714,0.0,0.613,0.0,0.4339622641509434,0.481,0.23232323232323232,0.416,0.537
GPT GPT-3 6B,0.0,0.7454545454545455,0.4,0.1875,75.017316017316,0.16,0.496,0.3942857142857143,0.45652173913043476,0.106,0.0,0.309,0.21021021021021022,0.32653061224489793,0.34375,0.2,0.0,0.481,0.0,0.4528301886792453,0.481,0.2474747474747475,0.312,0.558
GPT GPT-3 Large,0.0,0.7818181818181819,0.18333333333333332,0.125,48.230158730158735,0.22,0.5,0.26857142857142857,0.5652173913043478,0.098,0.0,0.313,0.21921921921921922,0.2857142857142857,0.0625,0.11904761904761904,0.0,0.542,0.0,0.39622641509433965,0.484,0.20202020202020202,0.456,0.517
GPT GPT-3 Medium,0.0,0.8545454545454545,0.18333333333333332,0.1875,41.619769119769124,0.28,0.521,0.2342857142857143,0.41304347826086957,0.092,0.0,0.297,0.1891891891891892,0.2857142857142857,0.15625,0.11428571428571428,0.0,0.461,0.0,0.37735849056603776,0.481,0.23232323232323232,0.43,0.554
GPT GPT-3 Small,0.0,0.8727272727272727,0.15,0.3125,39.67063492063493,0.15,0.5,0.2571428571428571,0.32608695652173914,0.097,0.0,0.308,0.21921921921921922,0.2857142857142857,0.125,0.0761904761904762,0.0,0.559,0.0,0.37735849056603776,0.479,0.20202020202020202,0.332,0.567
GPT GPT-3 XL,0.0,0.7454545454545455,0.23333333333333334,0.1875,59.85389610389609,0.21,0.506,0.29714285714285715,0.43478260869565216,0.116,0.0,0.297,0.21621621621621623,0.32653061224489793,0.1875,0.12380952380952381,0.0,0.581,0.0,0.37735849056603776,0.478,0.18686868686868688,0.386,0.535
Gopher 1.4B,,,,,,,0.5162,0.303,0.5455,,,0.3182,,,0.2273,,,,,,0.5223,,,0.5206000000000001
Gopher 117M,,,,,,,0.5057,0.2364,0.5455,,,0.3152,,,0.0909,,,,,,0.4808,,,0.5059
Gopher 280B,,,,,,,0.5073,0.8,0.6364,,,0.3505,,,0.5909,,,,,,0.6097,,,0.5675
Gopher 417M,,,,,,,0.5032,0.2788,0.3864,,,0.3141,,,0.1364,,,,,,0.5214,,,0.4682
Gopher 44M,,,,,,,0.5075,0.18789999999999998,0.5,,,0.3111,,,0.0455,,,,,,0.46020000000000005,,,0.47479999999999994
Gopher 7.1B,,,,,,,0.511,0.3697,0.5227,,,0.31010000000000004,,,0.3636,,,,,,0.5682,,,0.5185
PaLM 535b,0.38235294117647056,1.0,0.9,0.9166666666666666,95.55555555555554,0.91,0.533,0.9542857142857143,0.7391304347826086,0.36,0.001,0.424,0.5866666666666667,0.5918367346938775,0.71875,0.5904761904761905,0.4922779922779923,0.531,0.53125,0.9090909090909091,0.739,0.18686868686868688,0.702,0.659
PaLM 64b,0.38235294117647056,1.0,0.26666666666666666,0.6666666666666666,86.92640692640691,0.55,0.495,0.7771428571428571,0.5869565217391305,0.129,0.001,0.365,0.44666666666666666,0.3877551020408163,0.59375,0.4523809523809524,0.42277992277992277,0.512,0.15625,0.6157024793388429,0.654,0.20707070707070707,0.444,0.61
PaLM 8b,0.14705882352941177,0.8545454545454545,0.15,0.3333333333333333,63.99999999999999,0.25,0.488,0.3485714285714286,0.5,0.118,0.0,0.333,0.36,0.3673469387755102,0.46875,0.23809523809523808,0.27606177606177607,0.432,0.0625,0.34710743801652894,0.554,0.18181818181818182,0.389,0.557
T0 T0,,,0.3667,0.625,,,0.5179,0.36,0.6304,0.20679999999999998,,0.396,0.5539999999999999,,0.1562,,,,,,0.5273,,0.6473,0.4738
T0+ T0+,,,0.5333,0.8125,,,0.5053,0.3829,0.6304,0.20800000000000002,,0.395,0.442,,0.3125,,,,,,0.54,,0.6624,0.45840000000000003
T0++ T0++,,,0.5832999999999999,0.75,,,0.5031,0.4,0.5217,0.2217,,0.39399999999999996,0.436,,0.2812,,,,,,0.5439,,0.7,0.4815
T5-LM T5-LM,,,0.1833,0.25,,,0.5004,0.32,0.5217,0.1671,,0.31,0.31,,0.09380000000000001,,,,,,0.5225,,0.3829,0.45770000000000005
